id,EmployeeNumber,CalDate,IsSwipe,IsTravel,IsLeave,IsNoSwipe,IsWeekend,created_date,updated_date,HoPCount,LeaveType,HOP_TYPE
42,30578152,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
43,30578811,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
44,30579552,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
45,30579810,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
46,30579963,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
47,30580023,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
48,30702268,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
49,30702419,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
50,30702482,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
51,30702945,2025-01-07,0,1,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
52,32251508,2025-01-07,0,0,1,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
53,32255648,2025-01-07,0,0,1,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
54,32255657,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
55,32564387,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
56,32564396,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
57,32564403,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
58,32564476,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
59,32564494,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
60,32564546,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
61,32564564,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
62,32564582,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
63,32564868,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
64,34029872,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
65,34030138,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
66,34030147,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
67,34030165,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
68,34030174,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
69,34030183,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
70,34030209,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
71,34030227,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
72,34030272,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
73,34030281,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
74,34030316,2025-01-07,0,0,1,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
75,34030334,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
76,34030352,2025-01-07,0,0,1,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
77,30241266,2025-01-09,0,0,1,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
78,30241284,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
79,30241319,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
80,30241328,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
81,30241337,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
82,30241417,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
83,30241426,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
84,30241444,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
85,30241471,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
86,30250683,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
87,30250692,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
88,30231721,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
89,30231776,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
90,30231785,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
91,30231801,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
92,30231856,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
93,30231883,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
94,30240178,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
95,30240196,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
96,30240221,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
97,30240230,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
98,30240249,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
99,30240347,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
100,30250077,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
101,30250086,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
102,30250246,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
103,30250255,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
104,30250308,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
105,30250317,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
106,30250335,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
107,30250362,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
108,30250380,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
109,30250406,2025-01-09,0,0,1,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
110,30250424,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
111,30250442,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
112,30250512,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
113,30259586,2025-01-09,0,0,1,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
114,30259595,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
115,30259611,2025-01-09,0,0,1,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
116,30259648,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
117,30259684,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
118,30259693,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
119,30259728,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
120,30259764,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
121,30259979,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
122,30260093,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
123,30260173,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
124,30260208,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
125,30271036,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
126,30271465,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
127,35430756,2025-01-17,1,0,0,0,0,NULL,2025-04-16 15:32:26.1065251,NULL,NULL,NULL
128,35847753,2025-01-17,1,0,0,0,0,NULL,2025-04-16 15:32:26.1065251,NULL,NULL,NULL
129,35121714,2025-01-17,1,0,0,0,0,NULL,2025-04-16 15:32:26.1065251,NULL,NULL,NULL
130,35244814,2025-01-17,1,0,0,0,0,NULL,2025-04-16 15:32:26.1065251,NULL,NULL,NULL
131,35387063,2025-01-17,1,0,0,0,0,NULL,2025-04-16 15:32:26.1065251,NULL,NULL,NULL
132,35413427,2025-01-17,1,0,0,0,0,NULL,2025-04-16 15:32:26.1065251,NULL,NULL,NULL
133,35552017,2025-01-17,0,0,0,1,0,NULL,2025-04-16 15:32:26.1065251,NULL,NULL,NULL
134,35680343,2025-01-17,1,0,0,0,0,NULL,2025-04-16 15:32:26.1065251,NULL,NULL,NULL
135,30228076,2025-01-18,0,0,0,0,1,NULL,2025-04-16 15:32:26.1065251,NULL,NULL,NULL
136,30353411,2025-01-18,0,0,0,0,1,NULL,2025-04-16 15:32:26.1065251,NULL,NULL,NULL
137,34932360,2025-01-17,1,0,0,0,0,NULL,2025-04-16 15:32:26.1065251,NULL,NULL,NULL
138,34932404,2025-01-17,1,0,0,0,0,NULL,2025-04-16 15:32:26.1065251,NULL,NULL,NULL
139,34983215,2025-01-17,1,0,0,0,0,NULL,2025-04-16 15:32:26.1065251,NULL,NULL,NULL
140,35133275,2025-01-17,0,0,1,0,0,NULL,2025-04-16 15:32:26.1065251,NULL,NULL,NULL
141,35337536,2025-01-17,1,0,0,0,0,NULL,2025-04-16 15:32:26.1065251,NULL,NULL,NULL
142,32662146,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
143,34719109,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
144,34719118,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
145,34719145,2025-01-08,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
146,34719216,2025-01-08,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
147,34719243,2025-01-08,0,0,1,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
148,34719252,2025-01-08,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
149,34719298,2025-01-08,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
150,34719715,2025-01-08,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
151,34719733,2025-01-08,0,0,1,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
152,34719779,2025-01-08,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
153,34719804,2025-01-08,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
154,34720623,2025-01-08,0,0,1,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
155,34936614,2025-01-08,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
156,34936623,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
157,34936632,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
158,34936641,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
159,34936669,2025-01-08,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
160,34936678,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
161,34936712,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
162,34936721,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
163,34936730,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
164,34936749,2025-01-08,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
165,34936758,2025-01-08,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
166,34948399,2025-01-08,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
167,35194896,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
168,35195065,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
169,35195154,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
170,35195216,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
171,35195500,2025-01-08,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
172,35195779,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
173,35195804,2025-01-08,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
174,35195831,2025-01-08,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
175,35195840,2025-01-08,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
176,35195868,2025-01-08,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
177,35195886,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
178,35195895,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
179,35195975,2025-01-08,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
180,35543019,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
181,35543028,2025-01-08,0,1,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
182,35543037,2025-01-08,0,0,1,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
183,35543046,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
184,35543055,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
185,35561329,2025-01-08,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
186,35561338,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
187,35561347,2025-01-08,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
188,35561356,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
189,35561374,2025-01-08,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
190,35561383,2025-01-08,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
191,35561392,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
192,35561409,2025-01-08,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
193,30246494,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
194,30246519,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
195,30255143,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
196,30255161,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
197,30255170,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
198,30255205,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
199,30255241,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
200,30255278,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
201,30255330,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
202,30255358,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
203,30255367,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
204,30255376,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
205,30597239,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:29.5128378,NULL,NULL,NULL
206,30597729,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:29.5128378,NULL,NULL,NULL
207,30597872,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
208,30598229,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:29.5128378,NULL,NULL,NULL
209,30598363,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:29.5128378,NULL,NULL,NULL
210,30598390,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
211,30598513,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:29.5128378,NULL,NULL,NULL
212,30598620,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
213,30598737,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:29.5128378,NULL,NULL,NULL
214,30598782,2025-01-09,0,1,0,0,0,NULL,2025-04-16 15:32:29.5128378,NULL,NULL,NULL
215,30698683,2025-01-09,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
216,30698816,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
217,30699432,2025-01-09,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
218,34606686,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
219,34606695,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
220,34606702,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
221,34606917,2025-01-07,0,0,1,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
222,34606926,2025-01-07,0,0,1,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
223,34606944,2025-01-07,0,0,1,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
224,34606962,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
225,34606971,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
226,34607006,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
227,34607435,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
228,34607453,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
229,34607480,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
230,34867715,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
231,34867724,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
232,34867733,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
233,34867742,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
234,34867751,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
235,34867779,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
236,34867788,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
237,34867797,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
238,34867813,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
239,34872479,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
240,34872497,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
241,34872610,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
242,34895944,2025-01-20,1,0,0,0,0,NULL,2025-04-16 15:32:24.2314873,NULL,NULL,NULL
243,34928892,2025-01-20,1,0,0,0,0,NULL,2025-04-16 15:32:24.2314873,NULL,NULL,NULL
244,34929622,2025-01-20,0,0,0,1,0,NULL,2025-04-16 15:32:24.2314873,NULL,NULL,NULL
245,34943241,2025-01-20,1,0,0,0,0,NULL,2025-04-16 15:32:24.2314873,NULL,NULL,NULL
246,34980815,2025-01-20,1,0,0,0,0,NULL,2025-04-16 15:32:24.2314873,NULL,NULL,NULL
247,34983000,2025-01-20,1,0,0,0,0,NULL,2025-04-16 15:32:24.2314873,NULL,NULL,NULL
